STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,hazard,Hazard class,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),waste,Waste categories,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,DK,Denmark,2022,,3333,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EE,Estonia,2004,,15310,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EE,Estonia,2006,,14058,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EE,Estonia,2008,,14647,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EE,Estonia,2010,,14270,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EE,Estonia,2012,,16627,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EE,Estonia,2014,,16587,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EE,Estonia,2016,,18451,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EE,Estonia,2018,,17539,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EE,Estonia,2020,,12163,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EE,Estonia,2022,,16752,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EL,Greece,2004,,3044,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EL,Greece,2006,,4657,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EL,Greece,2008,,6197,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EL,Greece,2010,,6333,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EL,Greece,2012,,6549,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EL,Greece,2014,,6404,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EL,Greece,2016,,6712,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EL,Greece,2018,,4215,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EL,Greece,2020,,2651,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EL,Greece,2022,,2858,,p,provisional,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,ES,Spain,2004,,3743,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,ES,Spain,2006,,3625,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,ES,Spain,2008,,3248,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,ES,Spain,2010,,2953,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,ES,Spain,2012,,2535,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,ES,Spain,2014,,2378,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,ES,Spain,2016,,2774,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,ES,Spain,2018,,2945,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,ES,Spain,2020,,2230,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,ES,Spain,2022,,2480,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EU27_2020,European Union - 27 countries (from 2020),2004,,5186,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EU27_2020,European Union - 27 countries (from 2020),2006,,5214,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EU27_2020,European Union - 27 countries (from 2020),2008,,4881,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EU27_2020,European Union - 27 countries (from 2020),2010,,5017,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EU27_2020,European Union - 27 countries (from 2020),2012,,5086,,,,,
dataflow,ESTAT:CEI_PC034(1.0),Waste generation per capita,A,Annual,KG_HAB,Kilograms per capita,HAZ_NHAZ,Hazardous and non-hazardous - total,TOTAL_HH,All NACE activities plus households,TOTAL,Total waste,EU27_2020,European Union - 27 countries (from 2020),2014,,5062,,,,,
